Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Sun, Dec 6, 2015",7:00 pm,Sacramento Kings,95,Oklahoma City Thunder,98
"Sun, Dec 6, 2015",6:00 pm,Dallas Mavericks,116,Washington Wizards,104
"Mon, Dec 7, 2015",8:00 pm,Phoenix Suns,103,Chicago Bulls,101
"Mon, Dec 7, 2015",7:00 pm,Detroit Pistons,84,Charlotte Hornets,104
"Mon, Dec 7, 2015",7:30 pm,Washington Wizards,114,Miami Heat,103
"Mon, Dec 7, 2015",8:00 pm,Portland Trail Blazers,88,Milwaukee Bucks,90
"Mon, Dec 7, 2015",8:00 pm,Los Angeles Clippers,110,Minnesota Timberwolves,106
"Mon, Dec 7, 2015",8:00 pm,Boston Celtics,111,New Orleans Pelicans,93
"Mon, Dec 7, 2015",7:30 pm,Dallas Mavericks,104,New York Knicks,97
"Mon, Dec 7, 2015",7:00 pm,San Antonio Spurs,119,Philadelphia 76ers,68
"Mon, Dec 7, 2015",7:30 pm,Los Angeles Lakers,93,Toronto Raptors,102
"Tue, Dec 8, 2015",7:30 pm,Houston Rockets,105,Brooklyn Nets,110
"Tue, Dec 8, 2015",7:00 pm,Portland Trail Blazers,100,Cleveland Cavaliers,105
"Tue, Dec 8, 2015",9:00 pm,Orlando Magic,85,Denver Nuggets,74
"Tue, Dec 8, 2015",7:00 pm,Golden State Warriors,131,Indiana Pacers,123
"Tue, Dec 8, 2015",8:00 pm,Oklahoma City Thunder,125,Memphis Grizzlies,88
"Tue, Dec 8, 2015",10:00 pm,Utah Jazz,106,Sacramento Kings,114
"Wed, Dec 9, 2015",7:00 pm,Chicago Bulls,100,Boston Celtics,105
