Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Fri, Nov 25, 2016",7:30 pm,Los Angeles Clippers,97,Detroit Pistons,108
"Fri, Nov 25, 2016",8:00 pm,Brooklyn Nets,97,Indiana Pacers,118
"Fri, Nov 25, 2016",10:30 pm,Golden State Warriors,109,Los Angeles Lakers,85
"Fri, Nov 25, 2016",8:00 pm,Miami Heat,90,Memphis Grizzlies,81
"Fri, Nov 25, 2016",8:00 pm,Toronto Raptors,105,Milwaukee Bucks,99
"Fri, Nov 25, 2016",7:30 pm,Charlotte Hornets,111,New York Knicks,113
"Fri, Nov 25, 2016",7:00 pm,Washington Wizards,94,Orlando Magic,91
"Fri, Nov 25, 2016",7:30 pm,Chicago Bulls,105,Philadelphia 76ers,89
"Fri, Nov 25, 2016",9:00 pm,Minnesota Timberwolves,98,Phoenix Suns,85
"Fri, Nov 25, 2016",10:00 pm,New Orleans Pelicans,104,Portland Trail Blazers,119
"Fri, Nov 25, 2016",10:30 pm,Houston Rockets,117,Sacramento Kings,104
"Fri, Nov 25, 2016",8:00 pm,Atlanta Hawks,68,Utah Jazz,95
"Sat, Nov 26, 2016",7:00 pm,New York Knicks,102,Charlotte Hornets,107
"Sat, Nov 26, 2016",10:30 pm,Minnesota Timberwolves,102,Golden State Warriors,115
"Sat, Nov 26, 2016",8:00 pm,Memphis Grizzlies,110,Miami Heat,107
"Sat, Nov 26, 2016",8:00 pm,Detroit Pistons,88,Oklahoma City Thunder,106
"Sat, Nov 26, 2016",7:00 pm,San Antonio Spurs,112,Washington Wizards,100
"Sun, Nov 27, 2016",6:00 pm,Sacramento Kings,122,Brooklyn Nets,105
"Sun, Nov 27, 2016",7:00 pm,New Orleans Pelicans,81,Dallas Mavericks,91
"Sun, Nov 27, 2016",6:00 pm,Los Angeles Clippers,70,Indiana Pacers,91
"Sun, Nov 27, 2016",9:30 pm,Atlanta Hawks,94,Los Angeles Lakers,109
"Sun, Nov 27, 2016",6:00 pm,Milwaukee Bucks,104,Orlando Magic,96
"Sun, Nov 27, 2016",1:00 pm,Cleveland Cavaliers,112,Philadelphia 76ers,108
"Sun, Nov 27, 2016",3:30 pm,Denver Nuggets,120,Phoenix Suns,114
"Sun, Nov 27, 2016",9:00 pm,Houston Rockets,130,Portland Trail Blazers,114
"Mon, Nov 28, 2016",10:30 pm,Atlanta Hawks,100,Golden State Warriors,105
"Mon, Nov 28, 2016",8:00 pm,Charlotte Hornets,104,Memphis Grizzlies,85
"Mon, Nov 28, 2016",7:30 pm,Boston Celtics,112,Miami Heat,104
"Mon, Nov 28, 2016",8:00 pm,Utah Jazz,112,Minnesota Timberwolves,103
"Mon, Nov 28, 2016",7:30 pm,Oklahoma City Thunder,112,New York Knicks,103
"Mon, Nov 28, 2016",7:30 pm,Philadelphia 76ers,95,Toronto Raptors,122
"Mon, Nov 28, 2016",7:00 pm,Sacramento Kings,95,Washington Wizards,101
"Tue, Nov 29, 2016",7:30 pm,Los Angeles Clippers,122,Brooklyn Nets,127
"Tue, Nov 29, 2016",7:00 pm,Detroit Pistons,112,Charlotte Hornets,89
"Tue, Nov 29, 2016",8:00 pm,Cleveland Cavaliers,101,Milwaukee Bucks,118
"Tue, Nov 29, 2016",8:00 pm,Los Angeles Lakers,88,New Orleans Pelicans,105
"Tue, Nov 29, 2016",8:30 pm,Orlando Magic,95,San Antonio Spurs,83
"Tue, Nov 29, 2016",9:00 pm,Houston Rockets,101,Utah Jazz,120
"Wed, Nov 30, 2016",7:30 pm,Detroit Pistons,121,Boston Celtics,114
"Wed, Nov 30, 2016",8:00 pm,Los Angeles Lakers,96,Chicago Bulls,90
"Wed, Nov 30, 2016",8:30 pm,San Antonio Spurs,94,Dallas Mavericks,87
"Wed, Nov 30, 2016",9:00 pm,Miami Heat,106,Denver Nuggets,98
"Wed, Nov 30, 2016",8:00 pm,New York Knicks,106,Minnesota Timberwolves,104
"Wed, Nov 30, 2016",8:00 pm,Washington Wizards,115,Oklahoma City Thunder,126
"Wed, Nov 30, 2016",9:00 pm,Atlanta Hawks,107,Phoenix Suns,109
"Wed, Nov 30, 2016",10:00 pm,Indiana Pacers,109,Portland Trail Blazers,131
"Wed, Nov 30, 2016",7:30 pm,Memphis Grizzlies,105,Toronto Raptors,120
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
"Thu, Dec 1, 2016",7:30 pm,Milwaukee Bucks,111,Brooklyn Nets,93
"Thu, Dec 1, 2016",7:00 pm,Dallas Mavericks,87,Charlotte Hornets,97
"Thu, Dec 1, 2016",8:00 pm,Los Angeles Clippers,113,Cleveland Cavaliers,94
"Thu, Dec 1, 2016",10:30 pm,Houston Rockets,132,Golden State Warriors,127
"Thu, Dec 1, 2016",8:00 pm,Orlando Magic,94,Memphis Grizzlies,95
"Thu, Dec 1, 2016",9:00 pm,Miami Heat,111,Utah Jazz,110
"Fri, Dec 2, 2016",8:00 pm,Detroit Pistons,121,Atlanta Hawks,85
"Fri, Dec 2, 2016",7:30 pm,Sacramento Kings,92,Boston Celtics,97
"Fri, Dec 2, 2016",8:00 pm,Cleveland Cavaliers,105,Chicago Bulls,111
"Fri, Dec 2, 2016",10:30 pm,Houston Rockets,128,Denver Nuggets,110
"Fri, Dec 2, 2016",8:00 pm,Los Angeles Clippers,114,New Orleans Pelicans,96
"Fri, Dec 2, 2016",7:30 pm,Minnesota Timberwolves,114,New York Knicks,118
"Fri, Dec 2, 2016",7:00 pm,Orlando Magic,105,Philadelphia 76ers,88
"Fri, Dec 2, 2016",8:30 pm,Washington Wizards,105,San Antonio Spurs,107
"Fri, Dec 2, 2016",7:30 pm,Los Angeles Lakers,80,Toronto Raptors,113
